Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
439,Domantas Sabonis\sabondo01,PF,24,IND,55,55,35.7,7.7,14.5,0.527,0.8,2.6,0.31,6.8,11.9,0.575,0.555,4.1,5.6,0.73,2.5,9.4,11.9,6.2,1.2,0.5,3.4,3.3,20.2
440,Luka Šamanić\samanlu01,PF,21,SAS,29,4,9.3,1.3,2.9,0.447,0.3,1.3,0.263,1,1.6,0.596,0.506,0.4,0.8,0.5,0.5,1.6,2,0.5,0.2,0.2,0.6,1.4,3.4
441,JaKarr Sampson\sampsja02,PF,27,IND,25,4,10.4,1.6,3.4,0.471,0.1,0.5,0.25,1.5,2.9,0.507,0.488,0.6,1,0.6,0.9,1.8,2.6,0.1,0.1,0.5,0.6,1.9,3.9
442,Dario Šarić\saricda01,C,26,PHO,44,1,17.5,3.2,6.9,0.457,1,2.8,0.363,2.1,4.1,0.522,0.531,1.6,1.9,0.857,1,3,3.9,1.3,0.6,0.1,1.2,2,9
443,Tomáš Satoranský\satorto01,SG,29,CHI,53,18,23.1,3,5.8,0.516,0.8,2.1,0.357,2.3,3.7,0.606,0.581,1.2,1.4,0.865,0.5,2,2.5,4.8,0.8,0.2,1.8,1.6,8
444,Dennis Schröder\schrode01,SG,27,LAL,59,59,32.2,5.5,12.5,0.438,1.1,3.4,0.335,4.4,9.2,0.476,0.483,3.4,4,0.844,0.5,3,3.5,5.8,1.2,0.2,2.7,2.6,15.5
445,Mike Scott\scottmi01,PF,32,PHI,44,11,16.8,1.5,4,0.369,1,3,0.343,0.4,1,0.452,0.5,0.2,0.3,0.667,0.2,2.2,2.4,0.7,0.5,0.2,0.4,1.5,4.2
446,Collin Sexton\sextoco01,SG,22,CLE,53,53,35.7,9,18.6,0.482,1.7,4.5,0.378,7.3,14.1,0.515,0.528,4.9,6,0.812,1,2.2,3.2,4.2,1.1,0.2,2.8,2.7,24.5
447,Landry Shamet\shamela01,SG,23,BRK,55,9,22.6,3.1,7.6,0.41,2.1,5.5,0.388,1,2.1,0.469,0.552,1.1,1.3,0.861,0.2,1.7,1.9,1.5,0.5,0.2,0.8,1.5,9.5
448,Iman Shumpert\shumpim01,SG,30,BRK,2,0,5.5,0.5,2,0.25,0,1.5,0,0.5,0.5,1,0.25,0,0,,0.5,0,0.5,0,0.5,0,0.5,0,1
449,Pascal Siakam\siakapa01,PF,26,TOR,54,54,35.8,7.6,16.9,0.452,1.3,4.4,0.301,6.3,12.5,0.504,0.491,4.4,5.3,0.836,1.7,5.6,7.2,4.4,1.2,0.7,2.3,3.2,21
450,Chris Silva\silvach01,PF,24,TOT,15,0,6.1,0.7,1.1,0.625,0.1,0.1,1,0.6,1,0.6,0.656,0.7,1,0.733,0.5,1.3,1.8,0.4,0.1,0.4,0.7,1.6,2.1
450,Chris Silva\silvach01,PF,24,MIA,11,0,7.5,0.8,1.2,0.692,0.1,0.1,1,0.7,1.1,0.667,0.731,1,1.4,0.733,0.6,1.6,2.3,0.5,0.1,0.5,0.8,1.8,2.7
450,Chris Silva\silvach01,PF,24,SAC,4,0,2.3,0.3,0.8,0.333,0,0,,0.3,0.8,0.333,0.333,0,0,,0,0.5,0.5,0,0,0.3,0.3,1,0.5
451,Ben Simmons\simmobe01,PG,24,PHI,53,53,32.6,5.6,10.1,0.557,0.1,0.2,0.3,5.6,9.9,0.562,0.56,3.2,5.3,0.606,1.6,5.8,7.4,6.9,1.7,0.6,3.1,3,14.5
452,Anfernee Simons\simonan01,SG,21,POR,57,0,16.7,2.7,6.4,0.421,2,4.5,0.432,0.7,1.9,0.393,0.574,0.7,0.9,0.784,0.2,1.9,2.1,1.4,0.3,0.1,0.7,1.5,8.1
453,Deividas Sirvydis\sirvyde01,SG,20,DET,16,0,3.1,0.3,1.1,0.278,0.3,0.9,0.286,0.1,0.3,0.25,0.389,0.2,0.3,0.75,0,0.7,0.7,0.1,0.1,0,0.2,0.3,1.1
454,Alen Smailagić\smailal01,PF,20,GSW,12,1,4.3,0.6,1.5,0.389,0.2,0.4,0.4,0.4,1.1,0.385,0.444,0.1,0.3,0.25,0.3,0.7,1,0.3,0.2,0.3,0.1,0.6,1.4
455,Marcus Smart\smartma01,PG,26,BOS,44,41,33,4.3,10.8,0.4,2,6,0.336,2.3,4.7,0.481,0.494,2.9,3.6,0.799,0.8,2.7,3.5,5.7,1.5,0.5,1.9,2.6,13.5
456,Dennis Smith Jr.\smithde03,PG,23,TOT,23,9,18.3,2.5,6.3,0.4,0.8,2.5,0.328,1.7,3.8,0.448,0.466,0.8,1.1,0.731,0.5,1.9,2.4,3.3,1,0.6,1.1,1.6,6.7
456,Dennis Smith Jr.\smithde03,PG,23,NYK,3,0,9.3,0.7,3.3,0.2,0,1.3,0,0.7,2,0.333,0.2,1.7,2,0.833,0,0.7,0.7,1,1,0,0.3,1.3,3
456,Dennis Smith Jr.\smithde03,PG,23,DET,20,9,19.6,2.8,6.8,0.415,1,2.7,0.352,1.9,4.1,0.457,0.485,0.7,1,0.7,0.6,2.1,2.7,3.7,1,0.7,1.3,1.7,7.3
457,Ish Smith\smithis01,PG,32,WAS,37,1,20.4,2.8,6.4,0.435,0.4,1.1,0.385,2.4,5.4,0.444,0.466,0.4,0.8,0.552,0.5,2.7,3.2,4,0.7,0.3,1,1.4,6.4
458,Jalen Smith\smithja04,PF,20,PHO,24,0,4,0.6,1.4,0.424,0.1,0.5,0.25,0.5,0.9,0.524,0.47,0,0.1,0.333,0.3,0.6,0.8,0.1,0,0.1,0.2,0.5,1.3
459,Tony Snell\snellto01,SG,29,ATL,43,21,21.2,1.9,3.7,0.516,1.4,2.5,0.575,0.5,1.2,0.392,0.71,0.3,0.3,1,0.4,2,2.3,1.3,0.3,0.3,0.4,1.6,5.4
460,Ray Spalding\spaldra01,C,23,HOU,2,0,9.5,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,1,0,1,1,2,0,0,1,1.5,1.5,2
461,Cassius Stanley\stanlca01,SG,21,IND,20,0,3.4,0.6,1.7,0.333,0.1,0.5,0.222,0.5,1.2,0.375,0.364,0.3,0.4,0.857,0.3,0.5,0.8,0.1,0,0.1,0.1,0.6,1.5
462,Lamar Stevens\stevela01,PF,23,CLE,40,0,12.5,1.6,3.4,0.456,0.1,0.6,0.16,1.5,2.8,0.523,0.471,0.9,1.3,0.725,0.6,1.8,2.4,0.6,0.4,0.3,0.6,1.3,4.1
463,Isaiah Stewart\stewais01,C,19,DET,64,11,20.9,3.2,5.7,0.566,0.2,0.7,0.349,3,5,0.595,0.587,0.9,1.3,0.691,2.4,4.2,6.6,0.8,0.5,1.2,1,2.7,7.5
464,Max Strus\strusma01,SF,24,MIA,36,0,13,2.1,4.7,0.456,1.3,3.8,0.341,0.9,0.9,0.912,0.592,0.4,0.6,0.65,0.1,0.9,1,0.6,0.3,0,0.2,1.2,5.9
465,Edmond Sumner\sumneed01,SG,25,IND,51,22,16,2.8,5.3,0.528,0.7,1.7,0.402,2.1,3.6,0.588,0.593,1.3,1.6,0.813,0.4,1.4,1.8,0.9,0.6,0.2,0.9,1.6,7.5
466,Jae'Sean Tate\tateja01,SF,25,HOU,65,53,29.4,4.5,8.8,0.513,0.8,2.7,0.297,3.7,6.1,0.609,0.559,1.4,2,0.698,1.9,3.4,5.4,2.3,1.3,0.5,1.3,3.2,11.2
467,Jayson Tatum\tatumja01,SF,22,BOS,58,58,35.9,9.5,20.6,0.459,2.9,7.5,0.393,6.5,13.1,0.497,0.531,4.6,5.3,0.873,0.8,6.6,7.4,4.4,1.1,0.4,2.7,1.9,26.5
468,Jeff Teague\teaguje01,PG,32,TOT,49,6,17.6,2.2,5.1,0.425,0.6,1.5,0.405,1.6,3.6,0.433,0.484,1.6,1.8,0.856,0.3,1.4,1.7,2.4,0.6,0.2,1.1,1.1,6.6
468,Jeff Teague\teaguje01,PG,32,BOS,34,5,18.1,2.3,5.5,0.415,0.8,1.6,0.464,1.5,3.9,0.394,0.484,1.5,1.8,0.836,0.3,1.4,1.7,2.1,0.8,0.2,1.1,1.3,6.9
468,Jeff Teague\teaguje01,PG,32,MIL,15,1,16.3,1.9,4.3,0.453,0.3,1.2,0.222,1.7,3.1,0.543,0.484,1.7,1.9,0.897,0.2,1.4,1.6,3,0.1,0.2,1,0.7,5.9
469,Garrett Temple\templga01,SG,34,CHI,49,23,27.2,2.9,6.9,0.423,1.2,3.7,0.339,1.7,3.2,0.519,0.513,0.7,0.9,0.814,0.5,2.2,2.7,2.2,0.8,0.5,1.1,2.3,7.8
470,Tyrell Terry\terryty01,PG,20,DAL,11,0,5.1,0.5,1.5,0.313,0,0.6,0,0.5,0.8,0.556,0.313,0.1,0.3,0.333,0,0.5,0.5,0.5,0.5,0,0.2,0.2,1
471,Daniel Theis\theisda01,C,28,TOT,62,48,24.6,3.9,7.2,0.542,0.7,2.3,0.31,3.2,4.8,0.653,0.592,1.1,1.7,0.663,1.4,4,5.4,1.7,0.6,0.9,1,2.5,9.6
471,Daniel Theis\theisda01,C,28,BOS,42,37,24.5,3.8,6.9,0.552,0.8,2.3,0.347,3,4.6,0.653,0.609,1.1,1.6,0.687,1.3,4,5.2,1.6,0.6,1,1,2.9,9.5
471,Daniel Theis\theisda01,C,28,CHI,20,11,24.9,4.1,7.9,0.522,0.6,2.5,0.24,3.5,5.4,0.654,0.561,1.2,1.9,0.622,1.6,4.2,5.8,1.9,0.7,0.6,1.1,1.9,10
472,Brodric Thomas\thomabr01,SG,24,TOT,25,1,8.6,0.8,2.6,0.308,0.4,1.5,0.27,0.4,1.1,0.357,0.385,0.8,1.1,0.704,0.2,0.8,1,0.7,0.3,0.3,0.7,0.9,2.8
